회사코드,회사명,상장여부,업데이트일
3019,NICE평가정보,상장,20251111
594,NH투자증권,상장,20251111
10867,LX하우시스,상장,20251111
112,LX인터내셔널,상장,20251111
10832,LX세미콘,상장,20251111
6657,LG전자,상장,20251111
3264,LG유플러스,상장,20251111
5886,KTis,상장,20251111
139,KG케미칼,상장,20251111
10556,KB금융,상장,20251111
9676,JW홀딩스,상장,20251111
106,JW중외제약,상장,20251111
23408,JW생명과학,상장,20251111
17533,JB금융지주,상장,20251111
1120,HMM,상장,20251111
20432,HL만도,상장,20251111
9723,HJ중공업,상장,20251111
32918,HD현대중공업,상장,20251111
32200,HD현대에너지솔루션,상장,20251111
44306,HD현대마린솔루션,상장,20251111
26725,HD현대,상장,20251111
954,HD한국조선해양,상장,20251111
7893,GS,상장,20251111
11409,GKL,상장,20251111
36555,ESR켄달스퀘어리츠,상장,20251111
1794,E1,상장,20251111
37550,DL이앤씨,상장,20251111
21,DL,상장,20251111
13913,iM금융지주,상장,20251111
99,DB하이텍,상장,20251111
583,DB손해보험,상장,20251111
1661,DB증권,상장,20251111
12,CJ대한통운,상장,20251111
684,AK홀딩스,상장,20251111
626,LS,상장,20251111
144,대한전선,상장,20251111
1245,한화에어로스페이스,상장,20251111
3020,케이티,상장,20251111
49,대동,상장,20251111
1012,엘에스일렉트릭,상장,20251111
8,하이트진로,상장,20251111
6098,HL홀딩스,상장,20251111
26727,HD현대건설기계,상장,20251111
11177,영원무역,상장,20251111
1121,현대위아,상장,20251111
997,영원무역홀딩스,상장,20251111
72,현대건설,상장,20251111
3423,파라다이스,상장,20251111
469,삼천리,상장,20251111
150,현대차증권,상장,20251111
1358,계룡건설산업,상장,20251111
3121,서울보증보험,상장,20251111
26726,HD현대일렉트릭,상장,20251111
168,대상,상장,20251111
9572,웅진씽크빅,상장,20251111
